user_id,degree,weighted_degree,cp_label,is_core
239,3,0.30000000000000004,1,False
125,3,0.30000000000000004,1,False
809,2,0.30000000000000004,1,False
1057,2,0.30000000000000004,1,False
777,3,0.30000000000000004,1,False
67,3,0.30000000000000004,1,False
280,3,0.30000000000000004,1,False
507,3,0.30000000000000004,1,False
102,2,0.30000000000000004,1,False
369,3,0.30000000000000004,1,False
1108,2,0.30000000000000004,1,False
1030,3,0.30000000000000004,1,False
1001,3,0.30000000000000004,1,False
456,2,0.30000000000000004,1,False
54,2,0.30000000000000004,1,False
871,2,0.30000000000000004,1,False
141,3,0.30000000000000004,1,False
1084,2,0.30000000000000004,1,False
123,2,0.30000000000000004,1,False
538,3,0.30000000000000004,1,False
503,3,0.30000000000000004,1,False
316,3,0.30000000000000004,1,False
124,3,0.30000000000000004,1,False
815,3,0.30000000000000004,1,False
186,3,0.30000000000000004,1,False
97,3,0.30000000000000004,1,False
127,3,0.30000000000000004,1,False
106,3,0.30000000000000004,1,False
324,3,0.30000000000000004,1,False
657,1,0.3,1,False
895,2,0.2,1,False
1019,1,0.2,1,False
811,2,0.2,1,False
857,2,0.2,1,False
158,2,0.2,1,False
146,2,0.2,1,False
221,2,0.2,1,False
197,2,0.2,1,False
379,2,0.2,1,False
728,1,0.2,1,False
409,2,0.2,1,False
881,2,0.2,1,False
755,2,0.2,1,False
513,2,0.2,1,False
282,2,0.2,1,False
274,2,0.2,1,False
178,2,0.2,1,False
988,2,0.2,1,False
270,2,0.2,1,False
888,2,0.2,1,False
157,2,0.2,1,False
918,2,0.2,1,False
93,2,0.2,1,False
196,2,0.2,1,False
250,2,0.2,1,False
412,2,0.2,1,False
238,2,0.2,1,False
237,2,0.2,1,False
41,2,0.2,1,False
42,2,0.2,1,False
1332,2,0.2,-1,False
126,2,0.2,1,False
733,2,0.2,1,False
904,2,0.2,1,False
653,2,0.2,1,False
703,2,0.2,1,False
104,2,0.2,1,False
56,2,0.2,1,False
91,2,0.2,1,False
55,2,0.2,1,False
81,2,0.2,1,False
30,2,0.2,1,False
463,2,0.2,1,False
312,2,0.2,1,False
216,2,0.2,1,False
278,2,0.2,1,False
328,2,0.2,1,False
6,2,0.2,1,False
536,2,0.2,1,False
496,2,0.2,1,False
500,2,0.2,1,False
505,2,0.2,1,False
331,2,0.2,1,False
775,2,0.2,1,False
590,1,0.2,1,False
816,1,0.2,1,False
297,2,0.2,1,False
717,2,0.2,1,False
416,2,0.2,1,False
687,2,0.2,1,False
989,1,0.2,1,False
589,2,0.2,1,False
440,2,0.2,1,False
582,1,0.2,1,False
103,2,0.2,1,False
335,2,0.2,1,False
330,2,0.2,1,False
529,2,0.2,-1,False
233,2,0.2,1,False
829,2,0.2,-1,False
450,2,0.2,1,False
213,2,0.2,1,False
567,2,0.2,1,False
601,2,0.2,1,False
215,2,0.2,1,False
241,2,0.2,1,False
1120,2,0.2,1,False
669,1,0.2,1,False
540,2,0.2,1,False
115,2,0.2,-1,False
235,2,0.2,1,False
788,1,0.2,1,False
704,2,0.2,1,False
623,2,0.2,1,False
467,2,0.2,1,False
351,2,0.2,1,False
217,2,0.2,1,False
84,2,0.2,1,False
451,2,0.2,1,False
548,2,0.2,1,False
768,1,0.2,1,False
478,2,0.2,1,False
537,2,0.2,1,False
410,2,0.2,-1,False
539,2,0.2,1,False
683,1,0.2,1,False
135,2,0.2,1,False
212,2,0.2,1,False
695,2,0.2,1,False
402,2,0.2,1,False
307,2,0.2,1,False
168,2,0.2,1,False
679,1,0.2,1,False
136,2,0.2,1,False
119,2,0.2,1,False
716,2,0.2,1,False
713,2,0.2,1,False
1328,2,0.2,1,False
79,1,0.2,1,False
798,2,0.2,-1,False
1097,1,0.2,1,False
167,2,0.2,1,False
132,2,0.2,1,False
1256,2,0.2,1,False
1157,2,0.2,1,False
121,2,0.2,1,False
38,2,0.2,1,False
245,2,0.2,1,False
13,2,0.2,1,False
5,2,0.2,1,False
108,2,0.2,1,False
61,2,0.2,1,False
39,2,0.2,1,False
7,2,0.2,1,False
95,1,0.1,1,False
75,1,0.1,1,False
33,1,0.1,1,False
98,1,0.1,1,False
59,1,0.1,1,False
114,1,0.1,1,False
107,1,0.1,1,False
94,1,0.1,1,False
1327,1,0.1,-1,False
128,1,0.1,-1,False
321,1,0.1,1,False
226,1,0.1,1,False
256,1,0.1,1,False
403,1,0.1,1,False
8,1,0.1,1,False
188,1,0.1,1,False
860,1,0.1,1,False
946,1,0.1,-1,False
509,1,0.1,1,False
187,1,0.1,1,False
987,1,0.1,1,False
753,1,0.1,-1,False
517,1,0.1,1,False
117,1,0.1,1,False
939,1,0.1,1,False
1143,1,0.1,1,False
693,1,0.1,1,False
1051,1,0.1,1,False
1243,1,0.1,-1,False
252,1,0.1,-1,False
1005,1,0.1,1,False
980,1,0.1,1,False
1050,1,0.1,1,False
975,1,0.1,1,False
621,1,0.1,1,False
342,1,0.1,1,False
