user_id,day,reputation
102,9,
106,9,
103,9,
259,9,
33,9,
127,9,
236,9,
186,9,
238,9,
56,9,
4,9,
30,9,
278,9,
110,9,
28,9,
216,9,
269,9,
230,9,
148,9,
277,9,
243,9,
199,9,
267,9,
326,9,
200,9,
152,9,
178,9,
1,9,
80,9,
249,9,
227,9,
18,9,
312,9,
320,9,
8,9,
232,9,
121,9,
359,9,
111,9,
274,9,
133,9,
333,9,
208,9,
27,9,
64,9,
96,9,
138,9,
196,9,
360,9,
325,9,
112,9,
161,9,
397,9,
250,9,
164,9,
407,9,
370,9,
379,9,
389,9,
424,9,
398,9,
384,9,
53,9,
244,9,
146,9,
251,9,
310,9,
177,9,
412,9,
386,9,
337,9,
413,9,
318,9,
168,9,
409,9,
371,9,
440,9,
26,9,
369,9,
348,9,
54,9,
507,9,
129,9,
311,9,
335,9,
529,9,
206,9,
266,9,
467,9,
351,9,
215,9,
516,9,
505,9,
6,9,
610,9,
280,9,
617,9,
344,9,
122,9,
258,9,
530,9,
588,9,
436,9,
193,9,
556,9,
276,9,
119,9,
595,9,
13,9,
3,9,
233,9,
198,9,
476,9,
298,9,
380,9,
328,9,
554,9,
134,9,
695,9,
180,9,
446,9,
601,9,
167,9,
531,9,
228,9,
342,9,
339,9,
596,9,
698,9,
683,9,
636,9,
364,9,
289,9,
545,9,
559,9,
594,9,
548,9,
188,9,
466,9,
537,9,
718,9,
197,9,
478,9,
526,9,
194,9,
291,9,
625,9,
217,9,
567,9,
599,9,
283,9,
2,9,
716,9,
576,9,
707,9,
375,9,
185,9,
666,9,
679,9,
608,9,
687,9,
123,9,
480,9,
497,9,
214,9,
764,9,
768,9,
420,9,
734,9,
331,9,
580,9,
41,9,
790,9,
524,9,
620,9,
857,9,
788,9,
811,9,
141,9,
775,9,
846,9,
51,9,
677,9,
297,9,
746,9,
638,9,
192,9,
815,9,
886,9,
819,9,
226,9,
176,9,
416,9,
604,9,
329,9,
225,9,
814,9,
925,9,
796,9,
490,9,
539,9,
392,9,
733,9,
623,9,
837,9,
592,9,
323,9,
590,9,
451,9,
805,9,
204,9,
888,9,
816,9,
810,9,
521,9,
66,9,
45,9,
224,9,
1031,9,
876,9,
918,9,
579,9,
450,9,
426,9,
149,9,
363,9,
520,9,
854,9,
717,9,
536,9,
657,9,
400,9,
404,9,
391,9,
731,9,
1019,9,
696,9,
270,9,
686,9,
881,9,
513,9,
572,9,
933,9,
780,9,
848,9,
685,9,
549,9,
104,9,
316,9,
704,9,
515,9,
402,9,
699,9,
493,9,
952,9,
831,9,
871,9,
703,9,
968,9,
503,9,
308,9,
655,9,
1084,9,
456,9,
1057,9,
488,9,
356,9,
157,9,
124,9,
777,9,
870,9,
7,9,
273,9,
910,9,
237,9,
540,9,
1174,9,
495,9,
1082,9,
1052,9,
829,9,
931,9,
410,9,
1030,9,
455,9,
859,9,
481,9,
650,9,
989,9,
1010,9,
89,9,
115,9,
300,9,
463,9,
1058,9,
809,9,
1327,9,
939,9,
1153,9,
798,9,
728,9,
307,9,
1120,9,
1092,9,
1286,9,
1056,9,
79,9,
644,9,
713,9,
187,9,
388,9,
1097,9,
235,9,
324,9,
987,9,
946,9,
1108,9,
144,9,
988,9,
1320,9,
1332,9,
113,9,
582,9,
1328,9,
1256,9,
878,9,
895,9,
395,9,
586,9,
1243,9,
669,9,
538,9,
1157,9,
693,9,
245,9,
759,9,
35,10,6.829222150427513
55,10,1.9790169658873211
49,10,1.9790169658873211
10,10,1.9795945522376157
11,10,2.0
57,10,
36,10,
15,10,
70,10,
73,10,
32,10,
90,10,
65,10,
91,10,
59,10,
46,10,
40,10,
114,10,
88,10,
58,10,
108,10,
107,10,
75,10,
94,10,
109,10,
98,10,
39,10,
86,10,
42,10,
126,10,
12,10,
43,10,
50,10,
37,10,
132,10,
165,10,
72,10,
68,10,
74,10,
92,10,
125,10,
163,10,
135,10,
142,10,
29,10,
63,10,
97,10,
210,10,
175,10,
67,10,
207,10,
78,10,
223,10,
191,10,
99,10,
130,10,
60,10,
257,10,
160,10,
102,10,
106,10,
103,10,
259,10,
33,10,
127,10,
236,10,
186,10,
238,10,
56,10,
4,10,
30,10,
278,10,
110,10,
28,10,
216,10,
269,10,
230,10,
148,10,
277,10,
243,10,
199,10,
267,10,
326,10,
200,10,
152,10,
178,10,
1,10,
80,10,
249,10,
227,10,
18,10,
312,10,
320,10,
8,10,
232,10,
121,10,
359,10,
111,10,
274,10,
133,10,
333,10,
208,10,
27,10,
64,10,
96,10,
138,10,
196,10,
360,10,
325,10,
112,10,
161,10,
397,10,
250,10,
164,10,
407,10,
370,10,
379,10,
389,10,
424,10,
398,10,
384,10,
53,10,
244,10,
