chain_id,seq_idx,id,user_id,parent_id,thread_id,chain_len,user_a,user_b
70,2,421,200,320,247,3,200,138
71,0,652,556,588,247,3,556,199
71,1,655,199,652,247,3,556,199
71,2,660,556,655,247,3,556,199
72,0,660,556,655,247,3,556,258
72,1,665,258,660,247,3,556,258
72,2,757,556,665,247,3,556,258
73,0,265,200,252,247,3,200,138
73,1,320,138,265,247,3,200,138
73,2,421,200,320,247,3,200,138
74,0,265,200,252,247,3,200,138
74,1,320,138,265,247,3,200,138
74,2,420,200,320,247,3,200,138
75,0,420,200,320,247,3,200,384
75,1,422,384,420,247,3,200,384
75,2,482,200,422,247,3,200,384
76,0,299,199,284,284,3,199,80
76,1,300,80,299,284,3,199,80
76,2,379,199,300,284,3,199,80
77,0,299,199,284,284,3,199,80
77,1,300,80,299,284,3,199,80
77,2,379,199,300,284,3,199,80
78,0,292,130,-1,292,3,130,243
78,1,296,243,292,292,3,130,243
78,2,316,130,296,292,3,130,243
79,0,298,227,296,292,3,227,111
79,1,337,111,298,292,3,227,111
79,2,389,227,337,292,3,227,111
80,0,563,348,442,365,3,348,54
80,1,567,54,563,365,3,348,54
80,2,625,348,567,365,3,348,54
81,0,625,348,567,365,3,348,129
81,1,645,129,625,365,3,348,129
81,2,752,348,645,365,3,348,129
82,0,563,348,442,365,3,348,54
82,1,567,54,563,365,3,348,54
82,2,625,348,567,365,3,348,54
83,0,625,348,567,365,3,348,129
83,1,645,129,625,365,3,348,129
83,2,752,348,645,365,3,348,129
84,0,563,348,442,365,3,348,54
84,1,567,54,563,365,3,348,54
84,2,625,348,567,365,3,348,54
85,0,625,348,567,365,3,348,129
85,1,645,129,625,365,3,348,129
85,2,752,348,645,365,3,348,129
86,0,563,348,442,365,3,348,54
86,1,567,54,563,365,3,348,54
86,2,625,348,567,365,3,348,54
87,0,625,348,567,365,3,348,129
87,1,645,129,625,365,3,348,129
87,2,752,348,645,365,3,348,129
88,0,563,348,442,365,3,348,54
88,1,567,54,563,365,3,348,54
88,2,625,348,567,365,3,348,54
89,0,625,348,567,365,3,348,129
89,1,645,129,625,365,3,348,129
89,2,752,348,645,365,3,348,129
90,0,563,348,442,365,3,348,54
90,1,567,54,563,365,3,348,54
90,2,625,348,567,365,3,348,54
91,0,645,129,625,365,3,129,436
91,1,647,436,645,365,3,129,436
91,2,706,129,647,365,3,129,436
92,0,563,348,442,365,3,348,54
92,1,567,54,563,365,3,348,54
92,2,625,348,567,365,3,348,54
93,0,645,129,625,365,3,129,436
93,1,647,436,645,365,3,129,436
93,2,706,129,647,365,3,129,436
94,0,563,348,442,365,3,348,54
94,1,567,54,563,365,3,348,54
94,2,625,348,567,365,3,348,54
95,0,645,129,625,365,3,129,436
95,1,647,436,645,365,3,129,436
95,2,706,129,647,365,3,129,436
96,0,563,348,442,365,3,348,54
96,1,567,54,563,365,3,348,54
96,2,625,348,567,365,3,348,54
97,0,651,556,647,365,3,556,576
97,1,810,576,651,365,3,556,576
97,2,937,556,810,365,3,556,576
98,0,563,348,442,365,3,348,54
98,1,567,54,563,365,3,348,54
98,2,625,348,567,365,3,348,54
99,0,563,348,442,365,3,348,54
99,1,567,54,563,365,3,348,54
99,2,625,348,567,365,3,348,54
100,0,651,556,647,365,4,556,199
100,1,656,199,651,365,4,556,199
100,2,663,556,656,365,4,556,199
100,3,712,199,663,365,4,556,199
101,0,563,348,442,365,3,348,54
101,1,567,54,563,365,3,348,54
101,2,625,348,567,365,3,348,54
102,0,651,556,647,365,3,556,199
102,1,656,199,651,365,3,556,199
102,2,663,556,656,365,3,556,199
103,0,563,348,442,365,3,348,54
103,1,567,54,563,365,3,348,54
103,2,625,348,567,365,3,348,54
104,0,651,556,647,365,3,556,199
104,1,656,199,651,365,3,556,199
104,2,663,556,656,365,3,556,199
105,0,563,348,442,365,3,348,54
105,1,567,54,563,365,3,348,54
105,2,625,348,567,365,3,348,54
106,0,651,556,647,365,3,556,199
106,1,656,199,651,365,3,556,199
106,2,663,556,656,365,3,556,199
107,0,563,348,442,365,3,348,54
107,1,567,54,563,365,3,348,54
107,2,625,348,567,365,3,348,54
108,0,651,556,647,365,3,556,199
108,1,656,199,651,365,3,556,199
108,2,663,556,656,365,3,556,199
109,0,563,348,442,365,3,348,54
109,1,567,54,563,365,3,348,54
109,2,625,348,567,365,3,348,54
110,0,651,556,647,365,3,556,199
110,1,656,199,651,365,3,556,199
110,2,663,556,656,365,3,556,199
111,0,734,531,732,365,3,531,683
111,1,737,683,734,365,3,531,683
111,2,776,531,737,365,3,531,683
112,0,563,348,442,365,3,348,54
112,1,567,54,563,365,3,348,54
112,2,625,348,567,365,3,348,54
113,0,651,556,647,365,3,556,199
113,1,656,199,651,365,3,556,199
113,2,663,556,656,365,3,556,199
114,0,734,531,732,365,3,531,683
114,1,737,683,734,365,3,531,683
114,2,776,531,737,365,3,531,683
115,0,563,348,442,365,3,348,54
115,1,567,54,563,365,3,348,54
115,2,625,348,567,365,3,348,54
116,0,651,556,647,365,3,556,199
116,1,656,199,651,365,3,556,199
116,2,663,556,656,365,3,556,199
117,0,734,531,732,365,3,531,683
117,1,737,683,734,365,3,531,683
117,2,776,531,737,365,3,531,683
118,0,563,348,442,365,3,348,54
118,1,567,54,563,365,3,348,54
118,2,625,348,567,365,3,348,54
119,0,651,556,647,365,3,556,199
119,1,656,199,651,365,3,556,199
119,2,663,556,656,365,3,556,199
120,0,734,531,732,365,3,531,683
120,1,737,683,734,365,3,531,683
120,2,776,531,737,365,3,531,683
121,0,563,348,442,365,3,348,54
121,1,567,54,563,365,3,348,54
121,2,625,348,567,365,3,348,54
122,0,651,556,647,365,4,556,199
122,1,656,199,651,365,4,556,199
122,2,662,556,656,365,4,556,199
122,3,710,199,662,365,4,556,199
123,0,563,348,442,365,3,348,54
123,1,567,54,563,365,3,348,54
123,2,625,348,567,365,3,348,54
124,0,625,348,567,365,3,348,344
124,1,629,344,625,365,3,348,344
124,2,638,348,629,365,3,348,344
125,0,563,348,442,365,3,348,54
125,1,567,54,563,365,3,348,54
125,2,625,348,567,365,3,348,54
126,0,563,348,442,365,3,348,54
126,1,567,54,563,365,3,348,54
126,2,625,348,567,365,3,348,54
127,0,563,348,442,365,3,348,54
127,1,567,54,563,365,3,348,54
127,2,625,348,567,365,3,348,54
128,0,696,554,574,365,3,554,134
128,1,700,134,696,365,3,554,134
128,2,796,554,700,365,3,554,134
129,0,373,359,372,365,3,359,161
129,1,375,161,373,365,3,359,161
129,2,451,359,375,365,3,359,161
130,0,369,232,-1,369,3,232,243
130,1,370,243,369,369,3,232,243
130,2,447,232,370,369,3,232,243
131,0,480,389,475,475,6,389,10
131,1,481,10,480,475,6,389,10
131,2,535,389,481,475,6,389,10
131,3,549,10,535,475,6,389,10
131,4,556,389,549,475,6,389,10
131,5,620,10,556,475,6,389,10
132,0,480,389,475,475,5,389,10
132,1,481,10,480,475,5,389,10
132,2,535,389,481,475,5,389,10
132,3,549,10,535,475,5,389,10
132,4,556,389,549,475,5,389,10
133,0,672,476,670,670,3,476,10
133,1,677,10,672,670,3,476,10
133,2,772,476,677,670,3,476,10
134,0,672,476,670,670,3,476,10
134,1,677,10,672,670,3,476,10
134,2,772,476,677,670,3,476,10
135,0,672,476,670,670,3,476,10
135,1,677,10,672,670,3,476,10
135,2,772,476,677,670,3,476,10
136,0,1401,1092,1341,670,3,1092,79
136,1,1581,79,1401,670,3,1092,79
136,2,1618,1092,1581,670,3,1092,79
137,0,672,476,670,670,3,476,10
137,1,677,10,672,670,3,476,10
137,2,772,476,677,670,3,476,10
138,0,697,554,693,693,3,554,193
138,1,698,193,697,693,3,554,193
138,2,797,554,698,693,3,554,193
139,0,1170,375,1164,717,3,375,149
139,1,1191,149,1170,717,3,375,149
139,2,1397,375,1191,717,3,375,149
140,0,728,90,727,727,7,90,185
140,1,730,185,728,727,7,90,185
140,2,880,90,730,727,7,90,185
140,3,1043,185,880,727,7,90,185
140,4,1305,90,1043,727,7,90,185
140,5,1339,185,1305,727,7,90,185
140,6,1511,90,1339,727,7,90,185
141,0,1511,90,1339,727,3,90,1010
141,1,1531,1010,1511,727,3,90,1010
141,2,1656,90,1531,727,3,90,1010
142,0,728,90,727,727,6,90,185
142,1,730,185,728,727,6,90,185
142,2,880,90,730,727,6,90,185
142,3,1043,185,880,727,6,90,185
142,4,1305,90,1043,727,6,90,185
142,5,1339,185,1305,727,6,90,185
143,0,1510,90,1342,727,3,90,1108
143,1,1532,1108,1510,727,3,90,1108
143,2,1654,90,1532,727,3,90,1108
144,0,733,531,-1,733,4,531,636
144,1,735,636,733,733,4,531,636
144,2,777,531,735,733,4,531,636
144,3,890,636,777,733,4,531,636
145,0,733,531,-1,733,3,531,636
145,1,735,636,733,733,3,531,636
